cty,municipality,repubican,democrat,blank ,tbc
OXF,Waterford,675,323,59,1057
,STATE UOCAVA,30,92,8,130
FRA,Avon,193,81,15,289
FRA,Carthage,213,112,13,338
FRA,Coplin Plt,52,58,6,116
FRA,Dallas Plt,130,97,15,242
FRA,Eustis,283,162,34,479
FRA,Jay,1375,1193,139,2707
FRA,Phillips,325,204,38,567
FRA,Rangeley/Twps,538,313,38,889
FRA,Rangeley Plt,104,50,4,158
FRA,Sandy River Plt,62,55,1,118
FRA,Temple,154,146,35,335
FRA,Washington Twp,9,2,0,11
FRA,Weld,168,143,23,334
OXF,Albany Township,163,163,19,345
OXF,Andover,313,207,19,539
OXF,Bethel/Mason Twp,774,977,82,1833
OXF,Buckfield,745,445,66,1256
OXF,Byron,67,34,5,106
OXF,Canton,329,189,53,571
OXF,Dixfield,833,452,50,1335
OXF,Gilead,67,56,10,133
OXF,Greenwood,282,300,28,610
OXF,Hanover,100,96,8,204
OXF,Hartford,420,291,37,748
OXF,Lincoln Plt,36,21,1,58
OXF,Lovell,395,413,43,851
OXF,Mexico,724,512,51,1287
OXF,Newry,127,139,11,277
OXF,Peru,544,322,34,900
OXF,Roxbury,165,81,16,262
OXF,Rumford,1515,1133,140,2788
OXF,Stoneham,87,103,12,202
OXF,Stow,114,111,29,254
OXF,Sumner,346,241,26,613
OXF,Upton,33,15,9,57
OXF,West Paris,585,401,58,1044
OXF,Woodstock/Milton Twp,514,381,56,951
,STATE UOCAVA,17,94,11,122
AND,Auburn,5853,5950,418,12221
AND,Durham,1450,1362,88,2900
AND,Poland,2004,1358,128,3490
CUM,New Gloucester,1833,1430,138,3401
,STATE UOCAVA,34,87,3,124
AND,Lewiston,0,12473,0,12473
,STATE UOCAVA,0,126,0,126
CUM,Baldwin,708,294,64,1066
CUM,Naples,1481,934,177,2592
CUM,Sebago,755,498,68,1321
CUM,Standish,3669,2370,316,6355
OXF,Hiram,587,341,74,1002
OXF,Porter,613,250,85,948
YOR,Acton,1097,574,92,1763
YOR,Cornish,562,361,57,980
YOR,Limerick,1220,719,131,2070
YOR,Limington,1572,717,176,2465
YOR,Newfield,671,340,42,1053
YOR,Parsonsfield,714,397,71,1182
YOR,Shapleigh,1159,627,111,1897
,STATE UOCAVA,30,79,10,119
CUM,Brunswick,4000,10074,567,14641
CUM,Chebeague Island,71,230,22,323
CUM,Freeport,1902,4106,275,6283
CUM,Harpswell,1473,2288,160,3921
CUM,Pownal,504,694,68,1266
CUM,Yarmouth,510,1214,76,1800
,STATE UOCAVA,29,292,20,341
LIN,Dresden,700,443,30,1173
SAG,Arrowsic,85,249,12,346
SAG,Bath,1456,3091,300,4847
SAG,Bowdoin,1056,739,92,1887
SAG,Bowdoinham,898,1048,72,2018
SAG,Georgetown,310,507,20,837
SAG,Phippsburg,783,711,83,1577
SAG,Richmond,1176,831,61,2068
SAG,Topsham,2156,4011,219,6386
SAG,West Bath,519,645,53,1217
SAG,Woolwich,1150,954,69,2173
,STATE UOCAVA,31,177,12,220
CUM,Cumberland,1966,3928,236,6130
CUM,Falmouth,2798,5969,277,9044
CUM,Gray,2744,2610,296,5650
CUM,Long Island,61,130,11,202
CUM,North Yarmouth,1123,1862,108,3093
CUM,Yarmouth,1104,3159,236,4499
,STATE UOCAVA,39,238,13,290
CUM,Casco,1221,986,122,2329
CUM,Frye Island,25,22,2,49
CUM,Raymond,1626,1517,134,3277
CUM,Westbrook,2577,4041,305,6923
CUM,Windham,5699,5474,422,11595
,STATE UOCAVA,29,84,5,118
CUM,Portland,3705,13808,815,18328
CUM,Westbrook,1148,2510,233,3891
,STATE UOCAVA,23,182,13,218
CUM,Portland,0,17926,3580,21506
,STATE UOCAVA,0,328,51,379
CUM,Cape Elizabeth,1498,5241,194,6933
CUM,Scarborough,343,832,66,1241
CUM,South Portland,4013,11200,798,16011
,STATE UOCAVA,30,245,13,288
CUM,Gorham,4515,6411,634,11560
CUM,Scarborough,5323,8489,570,14382
,STATE UOCAVA,37,121,6,164
YOR,Buxton,2550,2193,593,5336
YOR,Old Orchard Beach,2566,3253,497,6316
YOR,Saco,4480,7556,921,12957
,STATE UOCAVA,28,105,7,140
YOR,Arundel,1221,1538,158,2917
YOR,Biddeford,3704,7200,637,11541
YOR,Dayton,729,669,82,1480
YOR,Hollis,1596,1376,164,3136
YOR,Lyman,1457,1392,260,3109
,STATE UOCAVA,22,87,6,115
YOR,Alfred,1149,849,78,2076
YOR,Lebanon,2243,1112,268,3623
YOR,Sanford,6182,4397,634,11213
YOR,Waterboro,2841,1661,249,4751
,STATE UOCAVA,17,57,6,80
YOR,Berwick,2467,1975,271,4713
YOR,Kennebunk,2731,5523,271,8525
YOR,Kennebunkport,1010,1730,76,2816
YOR,North Berwick,1815,1337,130,3282
YOR,Wells,3872,4291,368,8531
,STATE UOCAVA,46,208,16,270
YOR,Eliot,1800,2780,124,4704
YOR,Kittery,1938,4326,324,6588
YOR,Ogunquit,348,727,40,1115
YOR,South Berwick,1799,2774,171,4744
YOR,York,3537,5681,462,9680
,STATE UOCAVA,31,203,17,251
,,,,,
,,,,,
,,,,,
,,,,,
